Unnamed: 0,description,points,country,province,variety,price
78108,"Twomey has turned to various coastal sources for Pinot Noir for years, with mixed results. Finally, with this Bien Nacido bottling, they've found something worth repeating. It shows that vineyard's balanced structure, with fine acidity and tannins framing cherry, red currant and cola flavors laced with minerality.",92,US,California,Pinot Noir,54
136964,"This 50-50 blend from two well-established vineyards is 100% Cabernet Sauvignon. Young and stiff and still quite tannic, it shows compact cassis and blackberry fruit with an earthy underpinning, a hint of stem that adds some bite to the tannins. As time smoothes it and softens the tannins, more of the concentrated fruit should emerge; it's well-made and balanced; a fine example of Washington Cabernet Sauvignon done in a classic Bordeaux style.",89,US,Washington,Cabernet Sauvignon,40
31010,"Shows pure, pleasurable Chardonnay flavors of white peach, grape, nectarine, honey and vanilla, with no interference from oak. The acidity gives the wine a slight bite. The winemaker did a good job assembling the various lots into this three-appellation blend.",87,US,California,Chardonnay,12
63376,"Heavy, sweet and soft, with syrupy flavors of milk chocolate, blackberries, anise and pepper. Will appeal to those who like this rustic, easy style.",83,US,California,Zinfandel,23
150452,"These grapes were pushed hard: first for ripeness and low yields, then with barrel fermentation and plenty of new wood. The result is a rich, buttery, nutty wine with a core of white-peach flavors that never fully reveal themselves. Drink young before the fruit fades.",85,US,New York,Chardonnay,22
29397,"The fruit is sourced from multiple vineyards across the appellation, including Eastside Estate, a vineyard formerly known as 3 Starrs recently purchased by the producer. Aromas of exotic plumeria provide an inviting entry, followed by a subtle, yet lightly rich expression of yellow apple and ample minerality. Everything combines for a balanced wine that's not overly heavy or overripe.",93,US,California,Chardonnay,39
111563,"With layers of nutty, toasty oak flavors lingering in the background, this is a Sauvignon Blanc with lushness to its core of melon, guava and grass notes.",86,US,California,Sauvignon Blanc,15
142064,"A plump, low-acid Chardonnay that boasts modest fruit levels (some peach and pear) alongside nutty, custardy flavors and a toasty finish.",84,US,California,Chardonnay,10
99214,"This proprietary blend brings together many of Napa Valley's old-vine grapes, from Zinfandel and Petite Sirah to Alicante Bouschet and Mourvèdre. Plum sauce, tobacco and leather are seasoned in black pepper and espresso within a full-bodied grippy package.",88,US,California,Red Blend,33
37016,"If the first duty of a wine is to be delicious, this Pinot more than lives up to the obligation. It doesn't show the delicacy or silkiness of a classic Russian River Pinot Noir, being a little heavy and full-bodied. But it's fabulously rich and opulent, offering a tapestry of berry, mocha, spice and smoky oak notes. Soft, smooth tannins and crisp acids add to the pleasure. Drink this over the next few years.",93,US,California,Pinot Noir,85
5711,"20% whole-cluster fermented, this rich, brooding blend of Alder Ridge (86%) and Snipes Mountain Grenache brings notes of licorice, dark cherry, black pepper and mortared herbs. It's broad in feel, tart, fruit filled, and tightly wound, needing time in the cellar to unfurl.",91,US,Washington,Grenache,40
44785,"This Bordeaux blend shows an interesting range of fruit flavors and textures from the blend, which includes Cabernet Sauvignon, Cabernet Franc, Petit Verdot and Merlot. The flavors tend toward red fruits, as in cherries and red currants, while the tannins are quite strong. Shows an immaturity now that strongly suggests 5–6 years in the cellar.",90,US,California,Cabernet Sauvignon,65
48645,"A lusty, spicy Zin, born to partner with barbecue. It's powerful, high in alcohol and massive in baked blackberries and cherries, milk chocolate, red licorice, bacon and mounds of black pepper.",87,US,California,Zinfandel,34
67165,"This easy-drinking blend of 33% Cabernet Franc, 25% Cabernet Sauvignon, 25% Syrah and 17% Merlot opens with blue fruit, herb and spice aromas and leads to sweet, plush fruit and barrel flavors. Lightly grainy tannins provide structure.",88,US,Washington,Red Blend,25
8926,"This bottling continues to impress after all these years with its complexity and sheer deliciousness. The '06 shows charred barrel fermentation notes of pungent, smoky wood, but there's a great heart of citrus, melon and pepper spice flavors that makes the wine rich and rewarding. It's made even better by zesty acidity and a bone-dry finish.",91,US,California,Fumé Blanc,20
63532,"A good but rather rustic Cab. Shows fruity flavors of blackberries, black cherries, anise and smoky oak, with a spicy finish. The drawback is the tannic structure, which is jaggedly harsh. Drink now.",86,US,California,Cabernet Sauvignon,35
72074,"This is the medium-dry Riesling from this estate vineyard, a notch lower in alcohol than the Dry bottling, and overall a bit rounder. It carries the same excellent texture, length and mix of ripe fruits, with pears and nectarines taking center stage.",92,US,Oregon,Riesling,24
45336,"This is a smooth, rich and very drinkable Cabernet Sauvignon. It shows ripely classic flavors of blackberries, black currants, minerals and cedar. The tannins are brisk and furry, but the wine doesn't seem like a longterm ager. Good now and through 2014.",90,US,California,Cabernet Sauvignon,19
127345,"Brawny, with a bite, this wine offers juicy blackberry and black cherry, along with Cab-like elements of clove that give spiciness. Medium bodied and well integrated, it was aged entirely in neutral oak, allowing the fruit to shine.",88,US,California,Malbec,44
32759,"The wine is simple but satisfying, with blackberry and oak flavors. It would be an easy-drinking wine at parties.",84,US,California,Cabernet Sauvignon,8
4161,"Lavishly, densely ripe and fruity, this big, juicy wine has everything in spades, from the nearly black color to the jammy, dessert-like aromas to the saturated blackberry and black fig flavors to a full, opulent body and richly tannic texture. It sure packs a lot of power into each sip.",92,US,California,Syrah,39
1562,"The Daou brothers' considerable and continual investments is evidence that their wines will matter for years, ensuring a wise investment today. This 70% Cabernet Franc and 30% Merlot offers aromas of blueberry and cedar. Once sipped, the tannins grab with strength before dissipating smoothly. It's a seamless combo of spice, fruit, wood and herbs, but will evolve through at least 2025.",92,US,California,Bordeaux-style Red Blend,56
105301,"Consistent with previous bottlings, this is dark, oaky, lush with scents and flavors of butter, toast and roasted nuts. The fruit seems secondary to the parade of butterscotch, brown sugar and spice that comes walloping through the palate. The wine turns slightly bitter in the finish. This is a wine for those who love the California style of Chardonnay.",87,US,Washington,Chardonnay,18
113710,"Mellow and subtle, this is a soft-spoken but deeply flavorful special bottling from Navarro. It has great balance, reserved raspberry and black cherry flavors and an appetizing, firmly tannic texture. Save a few bottles until 2020 to see how well it develops.",91,US,California,Pinot Noir,55
41477,"Pontin scores with a sweet, lemony, ripe mouthful of fresh and fruity Riesling. Shows the verve and juicy deliciousness of Yakima Valley fruit.",87,US,Washington,Riesling,8
67114,"A rich, balanced and lovely Sauvignon Blanc. Fermented in stainless steel tanks, it's clean and crisp, with vibrant flavors of lemons, limes, vanilla, honeysuckle and spice. Sur lies aging adds a desirable texture of cream.",88,US,California,Sauvignon Blanc,16
147909,"The flagship of the Peter Michael Chardonnays is a stylish, sexy wine. Opens with a wonderful nose of peach, tropical fruit, nuts and orange tea; it shows great poise and a classic sense of proportion from bouquet to finish. The wine unfolds and expands in the glass, offering lovely orange, mineral and tarragon flavors. The engaging finish has great length and subtle aromas and flavors. Impressive for its restraint and attention to detail, this is delicious now but will also reward keeping. Cellar Selection.",92,US,California,Chardonnay,85
18187,"Aged four years in oak, this stately wine is adorned with layers of maple sugar, toast and smoked nuts, but its racy sour-cherry flavors shine through brightly. The backbone of this wine is taut with acidity, but bold, richly textured mouthfeel puts the palate at ease. It's sumptuous and revitalizing.",90,US,New York,Cabernet Sauvignon,35
96066,"A little soft and direct, with jammy, pie-filling flavors of pineapples, tangerines, pears and apricots. Drink now.",85,US,California,Chardonnay,48
52192,"This is the kind of wine Franciscan produces so well and reliably. As far as Merlots go, it shows the soft approachability and supple tannins you expect. Flavorwise, it's appealing in ripe red cherries, sweet red licorice and smoky oak. A very nice restaurant wine, and easy to find, with more than 20,000 cases produced.",90,US,California,Merlot,21
98797,"This is the opposite of those gooey, cult-style wines grown down on the valley benches and floor. It's pure mountain in the tannins, acidity and dryness, with below 14% alcohol. It's a food wine, with cassis, cedar and mineral flavors. Should age well for a decade.",93,US,California,Cabernet Sauvignon,45
39907,"A very good wine, glamorous in the way of Oakville Cabernets, with beautiful tannins and flavors of blackberries and cassis. But it's also very oaky, with a caramel and wood char sweetness that's a little too dominant. Doesn't seem like an ager.",89,US,California,Cabernet Sauvignon,60
18809,"This could be the best Pinot Blanc in Oregon right now, with lushness from barrel fermentation offset by the delicate balance throughout. Despite its modest 12.5% alcohol, this is a wine of considerable depth, with a mix of ripe yellow fruits and persistent, toasty highlights.",92,US,Oregon,Pinot Blanc,25
144827,"The Edwards style is big, ripe and rich, and this wine displays it in bold face. Although dry, it's massive in blackberries and cherries, melted milk chocolate, coffee and vanilla flavors. It has the richness of Syrah, without the tannins. This is a silky, complicated and enjoyable wine.",90,US,California,Pinot Noir,54
101893,"A lovely Bordeaux-style wine, dry and richly tannic, showing complex flavors of blackberries, black currants, dried herbs and smoky oak, with hints of violets, cocoa and spices. Shows lots of elegant structure, at a good price. Drink now.",88,US,California,Meritage,18
77385,"This is the producer's first vintage from this vineyard—the grapes were previously sold. The site, which sits within Green Valley as well as the Sonoma Coast, is planted to the same clone as sister property Quail Hill, in coveted Goldridge soils. Soft, round and decadent, the wine is full bodied, with bursts of red fruit and crushed stone.",94,US,California,Pinot Noir,65
91216,"Overall, this elegant wine is dry with just a touch of stonefruit sweetness. Lemon yellow in color, there's brightness throughout with ripe apricots, honey and yellow freesia on the nose. A polished minerality and orange pith bitterness help keep things in balance.",86,US,New York,Riesling,16
40317,"A pretty good wine, with blackberry, cherry and currant flavors, and some smoky oak. Nice and dry, with smooth tannins, it's a decent sipper.",84,US,California,Meritage,18
12050,"This tastes like an alcoholic fruit drink with apricot, orange and mango flavors. Still, it's clean and pleasant.",83,US,California,Chardonnay,9
104712,"This is a crisp, minerally wine you could drink as an interesting alternative to Sauvignon Blanc. It's rich in citrus, apricot and floral flavors that finish with a honey, fruity flourish. Try with Asian fare.",85,US,California,Verdelho,15
115610,"Nicely dry and very crisp, with mouthwatering acidity that scours the palate and makes it brisk and clean. It's a little too fruity, though, with jammy pineapple, lemon and lime flavors that pall after a few sips.",86,US,California,Sauvignon Blanc,26
128189,"Somewhat sharp and tartly aggressive now in jammy fruit, with raspberry, cherry, wintergreen mint and cola flavors, sweetened with smoky wood notes. Doe not seem like an ager, so drink now with very rich meats, oils and cheeses to soften the hardness.",86,US,California,Zinfandel,34
6089,"Sexy and seductive, this melds cherry fruit with a touch of white pepper, blossoming into a full midpalate with length and power. There's a buttery softness, and a dash of caramel, making this ready to go for immediate enjoyment.",92,US,Oregon,Pinot Noir,35
73440,"A bit shy on the nose, this appellation-blend bottling shows light cola, red cherry and wet slate aromas. The palate is tightly wound and very earthy, with turned loam, strong wet clay, oregano, sage, pomegranate and hibiscus elements all playing together nicely.",89,US,California,Grenache,35
104474,"Apple cream, squeezed tangerine and a touch of popcorn make for nice, easy and yet layered aromas on the nose of this bottling by the Los Gatos-based single-vineyard-focused winery. Flavors of Gravenstein apples, browned butter and toast pop on the palate, where an intriguing flinty character pushes this into another level.",93,US,California,Chardonnay,48
96444,"A welcome trend in Oregon is making Pinot Noir at moderate alcohol levels—here it's 13.5%. This enhances the wine's details, beginning with the aromas. Cola and clove, licorice and toffee scents promise a tasty bottle that turns out to be bursting with black berries, black cherries, black currant and even black tea flavors.",91,US,Oregon,Pinot Noir,50
8923,"This is a very approachable and tasty wine, especially for a grape that can be so tannic when young. Aromas of cola, chopped mint and cherries translate to a fruity and minty palate, with just enough tannins, a nice acidic spice and a bit of woodiness on the finish. It's very well measured.",92,US,California,Tempranillo,42
43980,"This is tight, tannic and distinguished, yet it shows a sweet, toasted oak touch, with ripe, tart flavors of red cherries, red currants and persimmons, plus accents of red licorice and cola. Beautiful now with decanting, and should glide through the next 10 years.",92,US,California,Pinot Noir,60
71447,"This is a clear step up from the excellent Two Vines Shiraz, and worth the extra couple of bucks. Wild berry flavors and varietal spice are given a somewhat tannic, earthy frame. Flavors suggest graphite, moist soil and some textural, grainy tannins. It's substantial, not just simple and fruity, and offers a lot of depth for the price.",88,US,Washington,Shiraz,11
53185,"This could be labeled Cabernet Sauvignon; the only other grape in the blend is a 14% Cab Franc component. Rich black cherry fruit provides the solid base, but after that the wine tightens down, so decanting would be essential if you plan to drink it soon. The scents weave together black fruits, spices and licorice; more than any of the other new releases from Soos Creek, this needs more time to settle.",92,US,Washington,Red Blend,40
111647,"This Merlot/Cabernet value offering from Meek drinks very well. Fruit is solid and plentiful, a bowl of mixed cherries, stone fruits and plum. Nice chocolaty layering in the finish, which is smooth and creamy. Delicious.",88,US,Washington,Red Blend,13
66431,"This soft wine is minimally oaky and combines quite ripe, figgy, almost honey-like fruit flavors with a vein of butter and almond. Fermented 90% in steel vats and 10% in oak barrels, it has a creamy texture and full body.",88,US,California,Chardonnay,25
79875,"Soft, sweet in jammy raspberry and cherry fruit and caramelized oak, this Syrah is somewhat simple. It's good, but would benefit from greater structure.",85,US,California,Syrah,27
117759,"An awkward wine, high in acid, with grapefruit, green tea and dried thyme aromas and flavors. Okay in its own way, but doesn't seem quite ripe.",83,US,California,Sauvignon Blanc,15
92790,"Light aromas of baking spice, vanilla and red fruit lead to well-balanced red-fruit and barrel flavors that taper toward the finish, with coffee flavors lingering.",87,US,Washington,Merlot,15
36473,"The nose of this Gewürztraminer juxtaposes savory earth tones against restrained tangerine and lemon. Subtle hibiscus nectar and citrus flavors lend sweetness the the palate but overall, it's a simple, delicately concentrated wine. The finish is brisk and clean.",85,US,New York,Gewürztraminer,14
92480,"For such a luscious, powerfully built wine, there's a surprising delicacy to this Chardonnay, exhibiting dainty hints of tropical fruit and butter cream on the nose and palate. It is nicely balanced, with bright, lemony acidity and a hint of saline that lingers on the finish.",87,US,New York,Chardonnay,18
118495,"A decent Pinot with lots of upfront fruit, if a bit soft and short on the finish. Shows candied raspberries, cherries and spices.",83,US,California,Pinot Noir,15
4790,"This muted, tannic Cabernet spent 20 months in new French oak. The dark black cherry and berry fruit are overwhelmed somewhat by the toast and oak.",86,US,California,Cabernet Sauvignon,59
25396,"A blend of Klipsun and Ciel du Cheval vineyards aged in 50% new French oak, this wine brings brooding notes of blackberry bramble, blueberry, mineral, herbs and potpourri. The palate-coating blue-fruit flavors are exceptionally dense, rich and sweet and lead to a hyper-extended finish.",94,US,Washington,Syrah,45
85977,"Rich, ripe and classy, this shows real pedigree in its structure, with brisk acids, firm tannins and a hint of minerals providing the architecture for the cherry and pomegranate flavors. It finishes totally dry and is ready to drink now.",90,US,California,Pinot Noir,42
117722,"A nose of enticing blackberry jam is followed by a slightly smoky, spicy blend of savory, earthy flavors. The nose and palate are a touch discordant, but overall the wine is unique and approachable.",83,US,New Jersey,Merlot,18
67682,"These grapes were pushed hard: first for ripeness and low yields, then with barrel fermentation and plenty of new wood. The result is a rich, buttery, nutty wine with a core of white-peach flavors that never fully reveal themselves. Drink young before the fruit fades.",85,US,New York,Chardonnay,22
26272,"This Pinot Noir is thin and simple, but it does have some pretty spice, raspberry candy and persimmon flavors. Tastes fairly sweet, but crisp acidity provides balance.",85,US,California,Pinot Noir,35
74009,"A blend of 76% Cabernet Sauvignon, with the rest Merlot, there is a sweet, cinnamon note that punches through, giving accents of spice and candy to the forward red-fruit flavor. This is easy drinking and very tasty—drink up.",90,US,Washington,Cabernet Sauvignon-Merlot,30
39157,"Sweet and brambly, Heron Hill's Ingle Vineyard Cab Franc is fragrant with aromas of cherry pie filling, vanilla spice and dried, ripe wood. The palate is dry and lean, but quite concentrated in fruit with a pleasantly tart raspberry finish.",86,US,New York,Cabernet Franc,18
54859,"All the individual parts of this 100% Cabernet are, in a word, gargantuan. Yet somehow the wine maintains its balance. The fruit is unbelievably ripe and powerful, with black currants, plums and chocolate that veer into a slight, Port-like finish. The tannins are thick and mellow, while oak adds rich notes of caramel. The result is a stupendously lush, delicious and heady wine. Hold for up to 15 years.",94,US,California,Cabernet Sauvignon,260
91060,"Sweet and candied, with lemon, lime, pineapple, fig and vanilla flavors. Crisp coastal acidity helps provide a savory, cleansing quality.",84,US,California,Sauvignon Blanc,11
80521,"This wine is bold and brawny, defined by big, oaky tannin and concentrated weight. Fresh black cherry develops a candied quality in the glass, while an earthy undercurrent of minty forest adds complexity.",88,US,California,Pinot Noir,50
13076,"Smooth and oaky, with a soft and accessible appeal, this is a more limited production offering than the Chateau's regular Columbia Valley Chardonnay. Though undeniably charming, it thins out quickly and does not have the vivid complexity of its sibling.",86,US,Washington,Chardonnay,18
46432,"A real fruit bomb, with explosive flavors of pineapples, lemons, limes and peaches, accented with sweet smoky oak. Malolactic fermentation adds softer flavors of buttered popcorn.",85,US,California,Chardonnay,25
78288,This wine shows an almost-black core with a red rim. Jammy blackberry aromas lead to rich and mouth-coating fruit flavors that are ripe. The full body and firm tannins create a thick texture. This rich wine begs for aged cheese or a chocolate dessert for accompaniment. It's made with 50% Syrah and 25% each of Petite Sirah and Zinfandel.,93,US,California,Red Blend,65
111469,"This wine is very fresh at three-plus years. It's lightly structured, with an elegant, silky mouthfeel and flavors of cola, red cherries, peppery spices and oak. Don't be surprised if it shows modest improvement with four or five years in the bottle.",87,US,California,Pinot Noir,28
56368,"Here's a good, rugged but dry and fruity Merlot for drinking now. It has pleasant cherry, berry, cola, herb and pepper flavors. Production was 5,000 cases.",86,US,California,Merlot,17
118694,"Minty, with easy wintergreen, cherry and sandalwood flavors framed in stiff tannins. This blend of Dolcetto, Refosco and Nebbiolo needs rich beef dishes.",84,US,California,Red Blend,60
92958,"This cool climate Roussanne shows more of a steely side of the grape, rather than ripe, round and fleshy. Citrus skin and peach pit flavors combine with a slight suggestion of chalk and mineral.",87,US,Washington,Roussanne,24
126135,"This is a pretty, pale purple/rose; bright, peppery and rather delicate. It shows excellent floral aspects, like a good Beaujolais - it's somewhere between Pinot Noir and Gamay, with big fat grapes and heavy clusters that somehow produce a real finesse wine. The acids keep it lively, the peppery notes add a lot of spice and the floral qualities turn the tart cranberry fruit into something special.",88,US,Washington,Cinsault,22
116253,"Cherry colored and lightly bricked, this wine offers aromas of herbs, orange peel, wet stone and cherry. It drinks dry with fleshy, boozy-seeming fruit flavors.",85,US,Washington,Rosé,16
120830,"Leesy silken textures characterize this bold full-bodied Grüner Veltliner. While dry on the palate, notes of roasted pineapple and yielding acidity accentuate its slightly caramelized tone. A touch of canned corn lingers on the finish.",88,US,New York,Grüner Veltliner,15
113865,"Tarry aromas of elderberry, teriyaki beef, soy and purple flowers combine for an umami-driven nose on this bottling from a newer vineyard in the region, with winemaking by Matt Dees. The palate packs vibrantly tart plum juice and dried lavender flavors, held up by powerful acidity, impressive for young vines.",93,US,California,Syrah,60
128605,"Like the label says, this Gewürz is off-dry, with sugary flavors of pineapples, apricots, green apples, papayas and Asian spices. It's uncomplicated and clean.",85,US,California,Gewürztraminer,22
91895,"Closed and muted on the nose at first, this wine shows varietal scents that include blue and red berry fruit and dried sage. Softly textured, it's an approachable middle-of-the-road Syrah.",86,US,California,Syrah,35
106210,"This is an aromatically brooding wine with notes of herbs, pepper and brown spices. It drinks quite sweet with a lightly chalky feel.",86,US,Washington,Syrah,30
31230,"Based on 84% Cabernet Sauvignon, with all four major red Bordeaux varieties represented, this expansive wine is big, dense and dusty in tannins and oak, but offers a soft side, too. Cherry, strawberry and a lift of citrus peel ease the power and intensity, before a chewy, dark chocolate finish. Cellar through 2021.",91,US,California,Bordeaux-style Red Blend,100
102531,"This is almost always a rewarding Zinfandel from Bella. The '09 offers flavors of spicy, briary raspberry and cherry fruit, cola, sweet herb and mocha, with a dry, classic finish.",89,US,California,Zinfandel,35
79778,"Lush and generous, this has a center of blackberry fruit, showing barrel accents of sweet baking spices. Notes of graphite and clean earth round out the finish.",90,US,Washington,Cabernet Sauvignon,25
33209,"A tough, dry, tannic wine, with a gritty mouthfeel. The flavors are ripe in black currants, plums, black cherries, sweet oak and earthy, tobacco notes. Seems best consumed over the next three years.",86,US,California,Cabernet Sauvignon,52
116100,"A bit harsh and overripe, with Porty flavors of baked blackberries, cherries and red currants. Partly, the heat is due to high alcohol.",84,US,California,Cabernet Sauvignon,55
12292,"This serviceable, affordable wine is dull on the nose yet highlighted with deep black fruit, toasted oak and graphite on the palate. Its rounded texture adds richness.",87,US,California,Cabernet Sauvignon,23
30451,"Yummy is the word that best describes this wine, but there's much more than just ripe berry flavors. Juicy, fresh and focused, this is akin to drinking liquid raspberries that are drizzled over clean rocks. It is a deep, intense wine that should dazzle you for up to a decade or more.",93,US,Washington,Syrah,50
23386,"A gorgeous wine, dense with flavor. Smooth and plummy, it's loaded with thick streaks of licorice, chocolate, baking spices and coffee liqueur. Long and flowing, it just seduces from the first sip to the last swallow.",92,US,Washington,Syrah,20
97641,"Blackberry and black cherry flavors are right up front, the fruit is definitely the star here. Light suggestions of dried leaf and moist earth add complexity, though in this lighter vintage it does not have the power of previous bottlings. This is a graceful, perfectly balanced wine, whose subtle pleasures will reward those who pay close attention.",90,US,Oregon,Pinot Noir,45
135114,"Soft and syrupy, with tons of oaky spice framing blackberry, cherry, raspberry and chocolate liqueur flavors, this high-alcohol blend of Syrah, Grenache and Petite Sirah tastes sweet and simple.",82,US,California,Rhône-style Red Blend,35
100895,"A fine Zinfandel, rich and briary, with wild forest flavors of black and blue berries, Asian spices, tangerine zest and smoky sandalwood. Full-bodied and dry, it's nice now and for the next few years.",90,US,California,Zinfandel,18
138953,"Compared to those fat, rich Chards that are hard to pair with food, this one's Chablisian. It's tart in acids and tangy in minerals and stones, with a richly controlled taste that's part apple-citrus fruit and part oak.",90,US,California,Chardonnay,19
129756,"In the blend are smaller percentages of Cab Franc, Merlot and Petit Verdot. The Red Mountain AVA is noted for thick, tannic wines, with superior aging potential. Here the earthy, peppery red fruits are buttressed with vivid acids and somewhat chewy tannins. The wine was aged two years in 40% new French oak.",87,US,Washington,Cabernet Sauvignon,55
72626,"Deep, pungent dark-berry aromas open this round, inviting cherry and raspberry flavored wine. Round and almost overly suave on the palate, it has ample black cherry, chocolate and toast flavors, and closes with a finish sporting dried fruits. The dry, talcum-like tannins allow for early drinking.",90,US,California,Cabernet Sauvignon,75
247,"Tasty, with pie-filling cherries, blackberries and currants accented with smoky oak, but a little on the soft side. Fully developed, so drink now.",85,US,California,Merlot,25
129047,"A very good but not great Cask 23, showing plenty of decadence and flair but not perhaps that extra edge of complexity. It's forward now in sweet new oak and flashy, jammy blackberries, cherries and raspberries. The tannins are quite an achievement, rich, vibrant and supple. Made from 100% Cabernet, it's full-bodied and dense, with a chocolaty finish. Could gain in the bottle beyond 2012 to about 2018.",91,US,California,Cabernet Sauvignon,195
58375,"A tremendous wine, this appeals to the senses as well as the intellect. Dry, tart in acidity and somewhat tannic, it shows complex flavors of raspberry and cherry pie, bacon, cinnamon, white pepper and sandalwood. The finish goes on and on. So delicious now, you can hardly keep from drinking it, but this is a Pinot Noir that will age for 6–8 years, gradually losing primary fruit and gaining interesting mushroom and dried fruit notes.",95,US,California,Pinot Noir,40
37622,"Juicy cranberry and pie cherry fruit brings this wine into clear focus. There is an underpinning of wet cement that comes across in the mid-palate, a sort of a stone wall that the fruit can't quite overcome. It fades into an astringent, tannic finish, still buoyed by those juicy acids.",87,US,Washington,Cabernet Sauvignon,20
88822,"Very golden and even nearing brown in color, this wine by the Paso Rhône pioneer shows walnut oil, honey and dried lemon peel on the nose. It's not so dense on the palate, offering an essence of brown pear and orange rinds. It could use a touch more mellowing in the bottle.",88,US,California,Roussanne,35
96276,"Sourced from an experimental vineyard planted in the early 1970s, this blends eight different varieties, all picked on the same day and co-fermented. At least one red grape (Cabernet Sauvignon), adds a touch of amber to the wine. It could be called rosé, though it's listed as a white wine. In any event, it's unique, with concentrated flavors of tree fruits, citrus peel and anise. Try it with charcuterie.",89,US,Oregon,White Blend,28
54211,"A rich, thick, heavy Merlot, a little too soft and melted in structure, but so delicious, it's easy to like. Shows flashy black cherry jam, chocolate, roasted almond and caramel flavors, rather like a granola candy bar.",86,US,California,Merlot,26
50036,"As tasty as a pear tart, this combines mild pear, vanilla and almond flavors on a smooth texture. Medium bodied, balanced slightly to the soft side, and quite fruity, it will make a satisfying glass at cocktail time or with dinner.",87,US,California,Chardonnay,10
94733,"This seriously good Zin shows off its ancient vineyard's terroir as well as Dry Creek's amenability for Zinfandel. Rich and complex, the wine is very spicy, flooding the mouth with creamy flavors of grilled red cherries, red currants, Fig Newton cookies, mocha and even a hint of sweet, char-broiled beefsteak. Now through 2012.",91,US,California,Zinfandel,30
69232,"Similar in every respect to the '09 vintage, a softly ripe wine that's drinkable now despite Petite Sirah's firm tannins. It's very delicious, showing candied blackberries, cherries, currants and chocolate.",89,US,California,Petite Sirah,26
118155,"Extremely pale in color and dilute in flavor, this might be reminiscent of watermelon, and could go down easily on a warm day. But there's not much here in the way of actual flavor.",83,US,Oregon,Rosé,18
117140,"Sourced from Red Willow, Olsen and Les Collines, this is the finest effort yet from Gramercy Cellars and one of the greatest Syrahs ever produced in Washington state. Think Hermitage with brighter fruit. It's intensely aromatic, dense and seamless, stacked with rich flavors of mixed berries, layers of smoke, earth and herb, and punctuated by citrusy acidity. Highlights of oranges and tangerines sneak into the finish, which lingers for an astonishingly long time. Exceptional in every way.",98,US,Washington,Syrah,55
